api_name,type,url,time elapsed(milliseconds),size(kb),response
GET USERPROFILE (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/timeline/?category=sports,951.631,4741.25,200
Using For Searching Topic,GET,http://localhost:8000/api/v1/search/?term=love&language_id=7,58.442,6.5,200
Using For Searching Topic,GET,http://localhost:8000/api/v1/search/?term=the&language_id=5,1808.725,7549.875,200
Using For Searching Topic,GET,http://localhost:8000/api/v1/search/?term=what&language_id=8,148.017,524.625,200
Using For Searching Topic,GET,http://localhost:8000/api/v1/search/?term=mount&language_id=7,58.304,6.5,200
Using For Searching User,GET,http://localhost:8000/api/v1/search/users/?term=nishachar,417.229,142.375,200
Using For Searching User,GET,http://localhost:8000/api/v1/search/users/?term=vk,698.885,1661.0,200
Using For Searching User,GET,http://localhost:8000/api/v1/search/users/?term=subhas,653.544,1735.375,200
Using For Searching User,GET,http://localhost:8000/api/v1/search/users/?term=gitesh,648.796,1345.125,200
Get Comment List all (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/comments/,719.598,2484.75,200
GET Category List,GET,http://localhost:8000/api/v1/categories/,25.31,41.5,200
GET Single Topic,GET,http://localhost:8000/api/v1/get_topic/?topic_id=22756,106.553,454.0,200
GET Single Topic,GET,http://localhost:8000/api/v1/get_topic/?topic_id=22752,129.95,495.625,200
GET Single Topic,GET,http://localhost:8000/api/v1/get_topic/?topic_id=22752,111.244,495.625,200
Get single user topic (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_question/?user_id=68723,30.188,6.5,200
Get single user topic (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_question/?user_id=103708,37.489,6.5,200
Get single user topic (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_question/?user_id=68723,33.392,6.5,200
Get topic non commented by user (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_home_answer/?language_id=8,168.173,6.5,200
Get topic non commented by user (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_home_answer/?language_id=7,59.328,6.5,200
Get topic non commented by user (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_home_answer/?language_id=7,64.316,6.5,200
Get topic commented by user (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_answers/?user_id=60646,43.25,6.5,200
Get topic commented by user (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_answers/?user_id=76773,48.773,6.5,200
Get topic commented by user (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_answers/?user_id=103708,46.192,6.5,200
seacrh hash tag,GET,http://localhost:8000/api/v1/search/hash_tag/?term=nishachar,19.705,6.5,200
seacrh hash tag,GET,http://localhost:8000/api/v1/search/hash_tag/?term=vk,18.191,6.5,200
seacrh hash tag,GET,http://localhost:8000/api/v1/search/hash_tag/?term=subhas,17.694,6.5,200
seacrh hash tag,GET,http://localhost:8000/api/v1/search/hash_tag/?term=gitesh,17.448,6.5,200
to get the kyc document list,GET,http://localhost:8000/api/v1/kyc_document_types,22.526,91.375,200
to get the options profession n payment and status,POST,http://localhost:8000/api/v1/kyc_profession_status,60.821,10132.75,500
To get the version of app,POST,http://localhost:8000/api/v1/my_app_version/,19.925,38.125,200
to get the token for a user,POST,http://localhost:8000/api/v1/token/,14.243,9.875,400
to refresh the token of a user,POST,http://localhost:8000/api/v1/token/refresh/,12.419,4.875,400
To verify OTP and create user or signin,POST,http://localhost:8000/api/v1/otp/verify/,72.825,4.75,400
to get the kyc status,POST,http://localhost:8000/api/v1/get_kyc_status/,18.42,87.625,200
tom get the bolo details (Using Nowhere),POST,http://localhost:8000/api/v1/get_bolo_details/,16.941,6.25,400
get follow user list,POST,http://localhost:8000/api/v1/get_follow_user/,3840.229,14601.875,200
get follow user list,POST,http://localhost:8000/api/v1/get_follow_user/,565.763,2271.75,200
get following list of user,GET,http://localhost:8000/api/v1/get_following_list/?user_id=1916,652.718,1870.75,200
get following list of user,GET,http://localhost:8000/api/v1/get_following_list/?user_id=98294,539.166,1804.125,200
get following list of user,GET,http://localhost:8000/api/v1/get_following_list/?user_id=1722,448.967,1805.0,200
get follower list of a user,GET,http://localhost:8000/api/v1/get_follower_list/?user_id=68700,322.955,1050.125,200
get follower list of a user,GET,http://localhost:8000/api/v1/get_follower_list/?user_id=68723,133.529,771.75,200
get follower list of a user,GET,http://localhost:8000/api/v1/get_follower_list/?user_id=60646,456.619,1602.75,200
share  apost on social media,POST,http://localhost:8000/api/v1/shareontimeline/,56.595,3.0,200
share  apost on social media,POST,http://localhost:8000/api/v1/shareontimeline/,48.242,3.625,200
share  apost on social media,POST,http://localhost:8000/api/v1/shareontimeline/,53.664,3.75,200
share  apost on social media,POST,http://localhost:8000/api/v1/shareontimeline/,47.807,3.75,200
to get suggestion for mention,POST,http://localhost:8000/api/v1/mention_suggestion/,191.931,29.25,200
to get suggestion for mention,POST,http://localhost:8000/api/v1/mention_suggestion/,220.682,165.0,200
to get suggestion for mention,POST,http://localhost:8000/api/v1/mention_suggestion/,219.634,238.625,200
to get suggestion for mention,POST,http://localhost:8000/api/v1/mention_suggestion/,227.964,245.0,200
to get the challenge (OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_challenge/?challengehash=toungetwister,232.02,6.5,200
to get the challenge page(OLD API/Using Nowhere) ,POST,http://localhost:8000/api/v1/get_challenge_details/,68.32,10.375,400
to get the self profile,GET,http://localhost:8000/api/v1/get_profile/,42.961,118.125,200
to get the subcategory_list,GET,http://localhost:8000/api/v1/get_sub_category/,50.137,1697.125,200
to get the subcategory_list,GET,http://localhost:8000/api/v1/get_sub_category/?category_id=66,17.534,0.25,200
to get the follow like list to store in mobile chache,POST,http://localhost:8000/api/v1/follow_like_list/,75.893,7033.25,200
to get the singel topic for notification ,GET,http://localhost:8000/api/v1/notification_topic/?topic_id=22752,101.216,571.125,201
to get the experts list,GET,http://localhost:8000/api/v1/experts/,337.11,6894.875,200
get single user profile,POST,http://localhost:8000/api/v1/get_userprofile/,47.8,142.0,200
to get ths user bolo score only,POST,http://localhost:8000/api/v1/get_bolo_score/,18.109,5.25,200
to get match list(OLD API/Using Nowhere),GET,http://localhost:8000/api/v1/get_match_list/,31.738,2545.5,200
to get single match details(OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/get_single_match/,38.785,263.125,201
to get singel poll(OLD API/Using Nowhere),POST,http://localhost:8000/api/v1/get_single_poll/,149.441,229.75,201
to get language from IP,GET,http://localhost:8000/api/v1/get_ip_to_language/?user_ip=127.0.0.1,197.714,5.125,400
get transcoding status of file,POST,http://localhost:8000/api/v1/vb_transcode_status/,18.298,2.75,200
get list of vb,GET,http://localhost:8000/api/v1/get_vb_list/?category=sports&is_popular=True&language_id=6,519.776,2447.25,200
get list of vb,GET,http://localhost:8000/api/v1/get_vb_list/?category=sports&language_id=1,1372.71,7043.0,200
get list of vb,GET,http://localhost:8000/api/v1/get_vb_list/?category=sports&language_id=7,282.518,372.375,200
get list of vb,GET,http://localhost:8000/api/v1/get_vb_list/?user_id=5881,1362.109,6894.5,200
get list of vb,GET,http://localhost:8000/api/v1/get_vb_list/?category=sports&is_expand=yes&language_id=2,1637.737,20999.25,200
to get the leader board(OLD API/Using Nowhere) ,GET,http://localhost:8000/api/v1/leaderboard_view/,1658.044,6265.625,200
to get the all hash tag with 3 video,POST,http://localhost:8000/api/v1/get_hash_list/,2224.058,14.0,200
to get the bolo info on click bolo info ,POST,http://localhost:8000/api/v1/get_user_bolo_info/,51.103,39.75,200
to get the bolo info on click bolo info ,POST,http://localhost:8000/api/v1/get_user_bolo_info/,43.399,39.75,200
to get the bolo info on click bolo info ,POST,http://localhost:8000/api/v1/get_user_bolo_info/,155.778,1239.125,200
sugest hashtag,POST,http://localhost:8000/api/v1/hashtag_suggestion/,19.307,2.125,200
sugest hashtag,POST,http://localhost:8000/api/v1/hashtag_suggestion/,18.2,2.125,200
sugest hashtag,POST,http://localhost:8000/api/v1/hashtag_suggestion/,18.419,2.125,200
sugest hashtag,POST,http://localhost:8000/api/v1/hashtag_suggestion/,26.129,2.125,200
get singel cateogry detail,POST,http://localhost:8000/api/v1/get_category_detail/,34.58,106.625,200
get singel cateogry detail,POST,http://localhost:8000/api/v1/get_category_detail/,32.337,156.75,200
get single category page,POST,http://localhost:8000/api/v1/get_category_detail_with_views/,53.803,9.875,400
get single category page,POST,http://localhost:8000/api/v1/get_category_detail_with_views/,23.65,9.875,400
get single category paginated video bytes,POST,http://localhost:8000/api/v1/get_category_video_bytes/,727.242,4889.875,200
get single category paginated video bytes,POST,http://localhost:8000/api/v1/get_category_video_bytes/,852.001,4727.375,200
get only popular video bytes,GET,http://localhost:8000/api/v1/get_popular_video_bytes/?language_id=8,814.351,5399.25,200
get only popular video bytes,GET,http://localhost:8000/api/v1/get_popular_video_bytes/?language_id=1,729.2,5057.75,200
to get user folow comment and like list when aapp initalize,POST,http://localhost:8000/api/v1/get_user_follow_and_like_list/,175.146,2127.25,200
to get trending video,GET,http://localhost:8000/api/v1/get_recent_videos/?language_id=8,883.428,5062.375,200
to get trending video,GET,http://localhost:8000/api/v1/get_recent_videos/?language_id=8,805.878,5062.375,200
to get trending video,GET,http://localhost:8000/api/v1/get_recent_videos/?is_expand=yes&language_id=9,740.948,19587.375,200
get popup video when app opens,POST,http://localhost:8000/api/v1/get_landing_page_video/,60.479,1.75,200
get popup video when app opens,POST,http://localhost:8000/api/v1/get_landing_page_video/,60.55,1.75,200
get popup video when app opens,POST,http://localhost:8000/api/v1/get_landing_page_video/,77.836,1.75,200
